orig_no,taxon_no,record_type,flags,taxon_rank,taxon_name,common_name,difference,accepted_no,accepted_rank,accepted_name,parent_no,container_no,reference_no,is_extant,n_occs,early_interval,late_interval,taxon_size,extant_size,phylum,class,order,family,genus,type_taxon,taxon_environment,environment_basis,motility,life_habit,vision,diet,reproduction,ontogeny,ecospace_comments,composition,architecture,thickness,reinforcement
180695,180695,txn,,species,Proganochelys ruchae,,,180695,species,Proganochelys ruchae,37585,,35630,extinct,3,Norian,,1,0,Chordata,Reptilia,,,Proganochelys,,terrestrial,Amniota,actively mobile,,,,,,,hydroxyapatite,,,
135441,351831,txn,,species,Proganochelys tenertesta,,,135441,species,Proganochelys tenertesta,37585,,28418,extinct,1,Norian,,1,0,Chordata,Reptilia,,,Proganochelys,,terrestrial,Amniota,actively mobile,,,,,,,hydroxyapatite,,,
37587,37587,txn,,genus,Proterochersis,,,37587,genus,Proterochersis,106739,UF4,44570,extinct,10,Norian,Rhaetian,5,0,Chordata,Reptilia,,,Proterochersis,,terrestrial,Amniota,actively mobile,,,,,,,hydroxyapatite,,,
344460,351832,txn,,species,Proterochersis limendorsa,,,344460,species,Proterochersis limendorsa,37587,,59666,extinct,1,Norian,,1,0,Chordata,Reptilia,,,Proterochersis,,terrestrial,Amniota,actively mobile,,,,,,,hydroxyapatite,,,
344458,344458,txn,,species,Proterochersis porebensis,,,344458,species,Proterochersis porebensis,37587,,59666,extinct,1,Norian,Rhaetian,1,0,Chordata,Reptilia,,,Proterochersis,,terrestrial,Amniota,actively mobile,,,,,,,hydroxyapatite,,,
131561,131561,txn,,species,Proterochersis robusta,,,131561,species,Proterochersis robusta,37587,,44570,extinct,3,Norian,,1,0,Chordata,Reptilia,,,Proterochersis,,terrestrial,Amniota,actively mobile,,,,,,,hydroxyapatite,,,
92204,135042,txn,,subclass,Eureptilia,eureptile,,92204,subclass,Eureptilia,36322,,28403,extant,3897,Pennsylvanian,Cenozoic,14912,3681,Chordata,Reptilia,,,,,terrestrial,Amniota,actively mobile,,,,,,,hydroxyapatite,,,
99771,99771,txn,,unranked clade,Romeriida,,,99771,unranked clade,Romeriida,92204,,24239,extant,3897,Kasimovian,Cenozoic,14847,3680,Chordata,Reptilia,,,,,terrestrial,Amniota,actively mobile,,,,,,,hydroxyapatite,,,
37768,135387,txn,,unranked clade,Diapsida,diapsid,,37768,unranked clade,Diapsida,99771,,34185,extant,3897,Kasimovian,Cenozoic,14846,3679,Chordata,Reptilia,,,,,terrestrial,Diapsida,actively mobile,,,,,,,hydroxyapatite,,,
164344,164344,txn,,unranked clade,Drepanosauromorpha,,,164344,unranked clade,Drepanosauromorpha,37768,,32240,extinct,38,Ladinian,Late Triassic,20,0,Chordata,Reptilia,,,,,terrestrial,Diapsida,actively mobile,,,,,,,hydroxyapatite,,,
164342,164342,txn,,unranked clade,Elyurosauria,,,164342,unranked clade,Elyurosauria,164344,,32240,extinct,4,Norian,,4,0,Chordata,Reptilia,,,,,terrestrial,Diapsida,actively mobile,,,,,,,hydroxyapatite,,,
UF5,,txn,,family,NO_FAMILY_SPECIFIED,,,,,,,164342,,,4,,,,,,,,,,,,,,,,,,,,,,,
164343,164343,txn,,genus,Vallesaurus,,,164343,genus,Vallesaurus,164342,UF5,32242,extinct,4,Norian,,3,0,Chordata,Reptilia,,,Vallesaurus,Vallesaurus cenensis,terrestrial,Diapsida,actively mobile,,,,,,,hydroxyapatite,,,
164346,164346,txn,,species,Vallesaurus cenensis,,,164346,species,Vallesaurus cenensis,164343,,32242,extinct,1,Norian,,1,0,Chordata,Reptilia,,,Vallesaurus,,terrestrial,Diapsida,actively mobile,,,,,,,hydroxyapatite,,,
164345,164345,txn,,species,Vallesaurus zorzinensis,,,164345,species,Vallesaurus zorzinensis,164343,,32240,extinct,1,Norian,,1,0,Chordata,Reptilia,,,Vallesaurus,,terrestrial,Diapsida,actively mobile,,,,,,,hydroxyapatite,,,
37781,37781,txn,,family,Drepanosauridae,,,37781,family,Drepanosauridae,164344,,31827,extinct,29,Ladinian,Late Triassic,13,0,Chordata,Reptilia,,Drepanosauridae,,,terrestrial,Diapsida,actively mobile,,,,,,,hydroxyapatite,,,
164341,164341,txn,,unranked clade,Megalancosaurinae,,,164341,unranked clade,Megalancosaurinae,37781,,32240,extinct,15,Norian,Rhaetian,6,0,Chordata,Reptilia,,Drepanosauridae,,,terrestrial,Diapsida,actively mobile,,,,,,,hydroxyapatite,,,
UF6,,txn,,family,NO_FAMILY_SPECIFIED,,,,,,,164341,,,15,,,,,,,,,,,,,,,,,,,,,,,
